TH,Eskualde-Kodea,Udalherri-Kodea,EREMU,Errolda,Hautesleak,Baliogabeak,Baleko,Zuriak,Hautagaien B.,Abstentzioa,EAJ-PNV,PP,EB-B,EKA,PH,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,ARALAR,PUM+J,UPYD,BILDU,H1!,PLIN,PSYV
ARABA-ÁLAVA,1,059,VITORIA-GASTEIZ,182865,112598,2618,109980,3132,106848,70267,22113,31953,5414,,,20246,,,2974,1939,2747,19462,,,
ARABA-ÁLAVA,2,001,ALEGRÍA-DULANTZI,1998,1296,58,1238,35,1203,702,359,204,45,,,152,49,,32,,,362,,,
ARABA-ÁLAVA,2,003,ARAMAIO,1202,903,10,893,15,878,299,190,12,6,,,13,3,,49,,,605,,,
ARABA-ÁLAVA,2,006,ARMIÑÓN,185,142,8,134,3,131,43,38,60,3,,,7,1,,4,,,18,,,
ARABA-ÁLAVA,2,008,ARRAZUA-UBARRUNDIA,779,547,16,531,17,514,232,170,114,9,,,65,9,,12,,,135,,,
ARABA-ÁLAVA,2,009,ASPARRENA,1308,941,17,924,19,905,367,305,75,14,,,46,8,,44,,,413,,,
ARABA-ÁLAVA,2,011,BAÑOS DE EBRO / MAÑUETA,248,206,6,200,10,190,42,66,92,1,,,19,1,,0,,,11,,,
ARABA-ÁLAVA,2,013,BARRUNDIA,709,450,3,447,4,443,259,163,58,4,,,20,15,,14,,,169,,,
ARABA-ÁLAVA,2,014,BERANTEVILLA,392,322,6,316,15,301,70,101,112,5,,,33,12,,5,,,33,,,
ARABA-ÁLAVA,2,016,BERNEDO,466,257,1,256,11,245,209,115,62,4,,,11,3,,3,,,47,,,
ARABA-ÁLAVA,2,017,CAMPEZO / KANPEZU,920,647,11,636,5,631,273,252,119,42,,,21,4,,7,,,186,,,
ARABA-ÁLAVA,2,018,ZIGOITIA,1393,953,29,924,38,886,440,237,122,10,,,94,26,,47,,,350,,,
ARABA-ÁLAVA,2,019,KRIPAN,155,125,3,122,3,119,30,82,22,0,,,3,1,,0,,,11,,,
ARABA-ÁLAVA,2,020,KUARTANGO,318,248,5,243,8,235,70,105,39,1,,,5,1,,1,,,83,,,
ARABA-ÁLAVA,2,021,ELBURGO / BURGELU,474,314,10,304,8,296,160,130,78,8,,,20,10,,2,,,48,,,
ARABA-ÁLAVA,2,022,ELCIEGO,823,673,20,653,33,620,150,118,187,25,,,202,12,,5,,,71,,,
ARABA-ÁLAVA,2,023,ELVILLAR / BILAR,290,246,3,243,0,243,44,100,69,1,,,35,0,,2,,,36,,,
ARABA-ÁLAVA,2,027,IRURAIZ-GAUNA,431,268,7,261,4,257,163,94,48,4,,,16,6,,6,,,83,,,
ARABA-ÁLAVA,2,028,LABASTIDA / BASTIDA,1087,850,24,826,17,809,237,177,333,18,,,107,9,,21,,,144,,,
ARABA-ÁLAVA,2,030,LAGRÁN,170,147,1,146,2,144,23,64,39,4,,,16,4,,2,,,15,,,
ARABA-ÁLAVA,2,031,LAGUARDIA,1237,1064,20,1044,44,1000,173,280,485,4,,,75,10,,9,,,137,,,
ARABA-ÁLAVA,2,032,LANCIEGO / LANTZIEGO,533,420,9,411,9,402,113,136,132,5,,,67,3,,4,,,55,,,
ARABA-ÁLAVA,2,033,LAPUEBLA DE LABARCA,685,564,6,558,14,544,121,268,134,4,,,56,7,,9,,,66,,,
ARABA-ÁLAVA,2,034,LEZA,177,133,0,133,2,131,44,46,13,0,,,27,2,,5,,,38,,,
ARABA-ÁLAVA,2,037,ARRAIA-MAEZTU,617,429,10,419,9,410,188,182,77,6,,,21,1,,4,,,119,,,
ARABA-ÁLAVA,2,039,MOREDA DE ÁLAVA / MOREDA ARABA,210,178,2,176,2,174,32,58,46,8,,,48,4,,0,,,10,,,
ARABA-ÁLAVA,2,041,NAVARIDAS,158,105,5,100,5,95,53,34,49,1,,,5,0,,2,,,4,,,
ARABA-ÁLAVA,2,043,OYÓN-OION,2336,1617,27,1590,27,1563,719,405,606,27,,,239,18,,24,,,244,,,
ARABA-ÁLAVA,2,044,PEÑACERRADA-URIZAHARRA,249,175,2,173,2,171,74,44,42,5,,,21,4,,7,,,48,,,
ARABA-ÁLAVA,2,046,ERRIBERA GOITIA / RIBERA ALTA,628,439,7,432,11,421,189,167,111,6,,,40,7,,7,,,83,,,
ARABA-ÁLAVA,2,047,RIBERA BAJA / ERRIBERA BEITIA,920,661,26,635,27,608,259,150,205,13,,,178,8,,7,,,47,,,
ARABA-ÁLAVA,2,049,AÑANA,146,113,0,113,3,110,33,46,14,4,,,8,2,,5,,,31,,,
ARABA-ÁLAVA,2,051,SALVATIERRA / AGURAIN,3639,2276,42,2234,38,2196,1363,872,193,33,,,130,14,,85,,,869,,,
ARABA-ÁLAVA,2,052,SAMANIEGO,237,193,5,188,4,184,44,87,14,1,,,38,3,,4,,,37,,,
ARABA-ÁLAVA,2,053,SAN MILLÁN / DONEMILIAGA,593,367,7,360,5,355,226,123,43,9,,,9,7,,8,,,156,,,
ARABA-ÁLAVA,2,054,URKABUSTAIZ,961,722,22,700,16,684,239,275,53,12,,,28,14,,17,,,285,,,
ARABA-ÁLAVA,2,055,VALDEGOVÍA / GAUBEA,918,693,16,677,19,658,225,265,222,6,,,47,5,,13,,,100,,,
ARABA-ÁLAVA,2,056,HARANA / VALLE DE ARANA,259,187,1,186,6,180,72,118,32,0,,,5,1,,0,,,24,,,
ARABA-ÁLAVA,2,057,VILLABUENA DE ÁLAVA / ESKUERNAGA,266,238,2,236,2,234,28,111,38,0,,,7,2,,0,,,76,,,
ARABA-ÁLAVA,2,058,LEGUTIO,1323,857,8,849,5,844,466,205,50,10,,,77,10,,34,,,458,,,
ARABA-ÁLAVA,2,060,YÉCORA / IEKORA,223,181,3,178,5,173,42,48,101,1,,,11,3,,1,,,8,,,
ARABA-ÁLAVA,2,061,ZALDUONDO,158,135,6,129,1,128,23,47,6,5,,,6,5,,5,,,54,,,
ARABA-ÁLAVA,2,062,ZAMBRANA,326,259,12,247,2,245,67,67,93,4,,,26,3,,7,,,45,,,
ARABA-ÁLAVA,2,063,ZUIA,1779,1261,48,1213,29,1184,518,395,195,18,,,109,37,,72,,,358,,,
ARABA-ÁLAVA,2,901,IRUÑA OKA / IRUÑA DE OCA,2254,1459,41,1418,57,1361,795,261,428,43,,,372,45,,23,,,189,,,
ARABA-ÁLAVA,2,902,LANTARÓN,774,516,16,500,15,485,258,164,152,15,,,45,10,,22,,,77,,,
ARABA-ÁLAVA,3,002,AMURRIO,8034,5579,131,5448,124,5324,2455,2009,681,77,,,557,75,,146,,,1779,,,
ARABA-ÁLAVA,3,004,ARTZINIEGA,1431,1037,36,1001,20,981,394,415,165,9,,,68,10,,23,,,291,,,
ARABA-ÁLAVA,3,010,AYALA / AIARA,2276,1655,54,1601,56,1545,621,623,187,17,,,89,22,,39,,,568,,,
ARABA-ÁLAVA,3,036,LAUDIO / LLODIO,15309,9925,212,9713,230,9483,5384,3059,1239,286,,,1356,139,,347,,,3057,,,
ARABA-ÁLAVA,3,042,OKONDO,912,819,25,794,10,784,93,285,48,6,,,16,5,,15,,,409,,,
GIPUZKOA,1,040,HERNANI,15157,9841,112,9729,157,9572,5316,1806,570,240,,,1541,74,39,448,26,28,4124,665,11,
GIPUZKOA,1,069,DONOSTIA-SAN SEBASTIÁN,146744,87518,987,86531,2490,84041,59226,17576,15797,2462,,,17567,1226,401,3851,508,1394,21391,1448,420,
GIPUZKOA,1,072,URNIETA,4638,2886,56,2830,80,2750,1752,807,170,74,,,660,28,6,102,7,14,851,28,3,
GIPUZKOA,1,073,USURBIL,4699,3181,35,3146,56,3090,1518,403,97,28,,,241,22,3,377,2,4,1574,336,3,
GIPUZKOA,1,902,LASARTE-ORIA,14157,9018,123,8895,245,8650,5139,1366,985,236,,,3065,144,52,288,48,83,2105,247,31,
GIPUZKOA,1,903,ASTIGARRAGA,3587,2183,28,2155,59,2096,1404,444,133,35,,,153,19,5,107,6,16,998,178,2,
GIPUZKOA,2,036,HONDARRIBIA,12731,7781,156,7625,236,7389,4950,2737,640,145,,,824,85,15,416,23,59,2039,406,,
GIPUZKOA,2,045,IRUN,46561,25930,482,25448,861,24587,20631,4874,4506,1210,,,7302,387,37,729,143,688,4301,410,,
GIPUZKOA,2,053,LEZO,4828,2619,39,2580,55,2525,2209,469,125,45,,,266,23,3,131,8,16,1423,16,,
GIPUZKOA,2,063,OIARTZUN,7894,5288,53,5235,68,5167,2606,834,148,42,,,206,26,14,233,8,17,3264,375,,
GIPUZKOA,2,064,PASAIA,12388,6706,106,6600,156,6444,5682,1195,648,320,,,1154,75,24,214,27,51,2561,175,,
GIPUZKOA,2,067,ERRENTERIA,31150,17746,212,17534,384,17150,13404,2527,1625,816,,,4832,171,52,541,124,116,6012,334,,
GIPUZKOA,3,001,ABALTZISKETA,246,171,0,171,0,171,75,70,0,0,,,1,3,,7,0,,90,0,,
GIPUZKOA,3,002,ADUNA,346,276,1,275,20,255,70,53,4,4,,,2,2,,31,0,,158,1,,
GIPUZKOA,3,004,ALBIZTUR,252,164,0,164,3,161,88,67,1,0,,,8,0,,24,0,,60,1,,
GIPUZKOA,3,005,ALEGIA,1344,905,13,892,9,883,439,203,35,12,,,44,3,,42,1,,536,7,,
GIPUZKOA,3,006,ALKIZA,274,193,0,193,7,186,81,66,2,0,,,0,2,,15,0,,100,1,,
GIPUZKOA,3,007,ALTZO,296,215,4,211,7,204,81,45,3,1,,,1,0,,17,0,,137,0,,
GIPUZKOA,3,008,AMEZKETA,760,550,0,550,10,540,210,132,8,7,,,2,0,,19,0,,372,0,,
GIPUZKOA,3,009,ANDOAIN,11807,7483,66,7417,153,7264,4324,1497,617,305,,,1909,76,,265,41,,2396,158,,
GIPUZKOA,3,010,ANOETA,1407,933,3,930,20,910,474,225,54,4,,,59,9,,35,0,,520,4,,
GIPUZKOA,3,012,ARAMA,153,112,0,112,4,108,41,33,3,0,,,2,1,,4,0,,64,1,,
GIPUZKOA,3,014,ASTEASU,1104,794,8,786,11,775,310,136,9,7,,,16,9,,47,2,,541,8,,
GIPUZKOA,3,015,ATAUN,1307,1057,4,1053,6,1047,250,357,1,5,,,1,0,,84,0,,595,4,,
GIPUZKOA,3,019,BEASAIN,10113,6216,71,6145,105,6040,3897,1965,414,150,,,912,44,,339,24,,1855,337,,
GIPUZKOA,3,021,BELAUNTZA,221,152,0,152,2,150,69,41,4,0,,,4,2,,15,0,,82,2,,
GIPUZKOA,3,022,BERASTEGI,831,577,6,571,9,562,254,146,3,2,,,14,4,,31,2,,335,25,,
GIPUZKOA,3,023,BERROBI,460,371,4,367,14,353,89,65,19,5,,,7,5,,23,1,,222,6,,
GIPUZKOA,3,025,ZEGAMA,1175,921,7,914,12,902,254,168,2,5,,,9,0,,83,1,,360,274,,
GIPUZKOA,3,026,ZERAIN,216,177,2,175,0,175,39,72,0,0,,,0,0,,7,0,,88,8,,
GIPUZKOA,3,028,ZIZURKIL,2167,1349,14,1335,22,1313,818,325,65,12,,,128,9,,44,4,,712,14,,
GIPUZKOA,3,031,ELDUAIN,180,126,0,126,8,118,54,25,0,1,,,0,0,,0,0,,90,2,,
GIPUZKOA,3,035,EZKIO-ITSASO,487,355,1,354,1,353,132,81,4,3,,,5,1,,28,0,,214,17,,
GIPUZKOA,3,037,GAINTZA,102,78,0,78,4,74,24,34,0,0,,,0,0,,2,0,,38,0,,
GIPUZKOA,3,038,GABIRIA,381,320,2,318,5,313,61,97,2,1,,,5,0,,21,0,,164,23,,
GIPUZKOA,3,041,HERNIALDE,275,162,0,162,6,156,113,41,3,2,,,2,3,,12,1,,92,0,,
GIPUZKOA,3,042,IBARRA,3367,2187,20,2167,33,2134,1180,468,90,22,,,201,14,,102,5,,1179,53,,
GIPUZKOA,3,043,IDIAZABAL,1776,1283,9,1274,15,1259,493,472,37,6,,,29,5,,98,0,,571,41,,
GIPUZKOA,3,044,IKAZTEGIETA,366,262,0,262,6,256,104,89,3,2,,,3,3,,8,1,,147,0,,
GIPUZKOA,3,046,IRURA,1142,725,21,704,24,680,417,172,34,6,,,49,2,,52,2,,350,13,,
GIPUZKOA,3,047,ITSASONDO,493,299,3,296,3,293,194,75,4,2,,,14,7,,15,1,,168,7,,
GIPUZKOA,3,048,LARRAUL,173,134,0,134,4,130,39,32,1,3,,,3,0,,7,0,,83,1,,
GIPUZKOA,3,049,LAZKAO,4082,2658,23,2635,40,2595,1424,835,107,30,,,308,13,,118,4,,1170,10,,
GIPUZKOA,3,050,LEABURU,291,257,4,253,4,249,34,62,3,5,,,3,5,,10,1,,155,5,,
GIPUZKOA,3,051,LEGAZPI,7058,4625,64,4561,89,4472,2433,1095,261,108,,,654,23,,177,9,,1803,342,,
GIPUZKOA,3,052,LEGORRETA,1158,873,10,863,27,836,285,276,28,10,,,57,3,,32,0,,416,14,,
GIPUZKOA,3,054,LIZARTZA,486,403,4,399,8,391,83,60,22,0,,,2,1,,15,0,,291,0,,
GIPUZKOA,3,057,MUTILOA,191,132,0,132,5,127,59,37,2,1,,,3,0,,4,0,,76,4,,
GIPUZKOA,3,058,OLABERRIA,767,549,5,544,9,535,218,140,36,9,,,67,5,,36,1,,164,77,,
GIPUZKOA,3,060,OREXA,93,84,1,83,0,83,9,5,0,0,,,0,0,,0,0,,78,0,,
GIPUZKOA,3,062,ORMAIZTEGI,1000,748,6,742,17,725,252,269,27,4,,,27,9,,52,2,,319,16,,
GIPUZKOA,3,070,SEGURA,1117,873,4,869,19,850,244,245,8,4,,,12,4,,44,0,,471,62,,
GIPUZKOA,3,071,TOLOSA,14457,9432,99,9333,175,9158,5025,3219,517,197,,,720,48,,542,17,,3795,103,,
GIPUZKOA,3,075,VILLABONA,4462,2771,24,2747,76,2671,1691,590,144,46,,,251,21,,162,9,,1422,26,,
GIPUZKOA,3,076,ORDIZIA,6978,4697,43,4654,90,4564,2281,1306,287,110,,,617,27,,256,3,,1862,96,,
GIPUZKOA,3,077,URRETXU,5381,3591,35,3556,71,3485,1790,908,199,102,,,581,21,,183,22,,1123,346,,
GIPUZKOA,3,078,ZALDIBIA,1153,894,11,883,1,882,259,173,6,3,,,18,2,,112,0,,567,1,,
GIPUZKOA,3,080,ZUMARRAGA,8085,5327,66,5261,100,5161,2758,1080,396,146,,,1809,38,,242,19,,1298,133,,
GIPUZKOA,3,904,BALIARRAIN,96,69,0,69,0,69,27,13,0,0,,,0,0,,2,0,,54,0,,
GIPUZKOA,3,905,ORENDAIN,142,124,2,122,0,122,18,34,0,1,,,0,0,,12,0,,75,0,,
GIPUZKOA,3,906,ALTZAGA,119,95,0,95,1,94,24,29,0,4,,,0,0,,6,1,,54,0,,
GIPUZKOA,3,907,GAZTELU,138,113,6,107,3,104,25,23,3,1,,,0,0,,4,0,,70,3,,
GIPUZKOA,4,003,AIZARNAZABAL,543,425,2,423,9,414,118,85,0,1,,,7,1,,8,0,,304,8,,
GIPUZKOA,4,011,ANTZUOLA,1708,1247,7,1240,16,1224,461,296,24,15,,,140,6,,77,0,,656,10,,
GIPUZKOA,4,013,ARETXABALETA,5328,3465,78,3387,30,3357,1863,770,108,86,,,299,16,,543,4,,1501,30,,
GIPUZKOA,4,016,AIA,1524,1064,6,1058,11,1047,460,494,6,8,,,15,7,,59,0,,450,8,,
GIPUZKOA,4,017,AZKOITIA,8683,5982,28,5954,86,5868,2701,1970,276,55,,,511,35,,397,13,,2544,67,,
GIPUZKOA,4,018,AZPEITIA,11003,7916,56,7860,103,7757,3087,2490,220,19,,,265,23,,352,11,,4087,290,,
GIPUZKOA,4,020,BEIZAMA,145,121,1,120,1,119,24,50,1,2,,,0,2,,3,0,,60,1,,
GIPUZKOA,4,024,BIDEGOIAN,395,309,5,304,4,300,86,104,8,1,,,2,1,,3,2,,177,2,,
GIPUZKOA,4,027,ZESTOA,2823,1947,16,1931,14,1917,876,603,15,7,,,49,4,,129,4,,1021,85,,
GIPUZKOA,4,029,DEBA,4280,2988,36,2952,61,2891,1292,863,100,80,,,166,17,,266,8,,1266,125,,
GIPUZKOA,4,030,EIBAR,22249,14248,125,14123,290,13833,8001,3071,1253,490,,,4395,107,,628,33,,3623,233,,
GIPUZKOA,4,032,ELGOIBAR,8981,5821,67,5754,79,5675,3160,2115,426,110,,,769,28,,234,16,,1942,35,,
